treatment,age,education,black,hispanic,married,nodegree,re74,re75,outcome
1,28.973713224089863,12,0,0,0,1,3999.9903623695022,3999.9903623695022,11341.754870309893
1,23.89388559063052,11,1,0,0,1,3270.187575441297,3270.187575441297,1747.2597832458468
1,30.18150830480554,9,1,0,0,1,1930.9625089058784,1930.9625089058784,5407.46661861527
1,37.184238851264205,7,1,0,0,1,5576.97747202845,5576.97747202845,8973.515882132519
1,23.126773002213312,5,1,0,0,0,4914.594963508054,4914.594963508054,6975.533362361641
1,23.126904344406555,8,1,0,1,1,2640.9930409077647,2640.9930409077647,1320.7923294203547
1,37.63370252405913,12,1,0,0,1,6081.031879587008,6081.031879587008,11761.907929583638
1,31.13947783322327,10,0,0,0,1,691.4155511117207,691.4155511117207,8056.755886755258
1,21.244204912520384,6,1,0,0,0,356.0790641708537,356.0790641708537,10222.189582536095
1,29.340480348687716,10,1,0,0,1,943.1034171843237,943.1034171843237,9676.432434782384
1,21.292658457500302,11,0,0,0,1,176.34332018988812,176.34332018988812,6215.0198343806505
1,21.274161971437945,7,0,0,0,0,2272.5421285018315,2272.5421285018315,408.76745211102116
1,26.935698172528273,10,1,1,0,1,8275.1436162059,8275.1436162059,6657.968612826327
1,9.693758042737617,10,1,0,0,1,120.41524922814669,120.41524922814669,2205.5197764208315
1,11.200657339895738,6,1,0,0,1,390.70163994935024,390.70163994935024,4900.504378163313
1,20.501699766072218,11,1,1,0,0,1805.5297449057928,1805.5297449057928,7350.129610933734
1,16.89735103732461,11,1,0,0,1,8148.625961627984,8148.625961627984,11262.971078073188
1,27.51397866076219,13,1,0,0,0,1140.076833170361,1140.076833170361,7515.609996614525
1,17.735807395830314,13,1,0,0,1,2123.1675113140354,2123.1675113140354,5905.976128365011
1,13.701570389317668,5,1,0,0,0,127.38519900315508,127.38519900315508,2533.2803667808716
1,36.72519015137243,7,0,0,1,0,481.7149540092568,481.7149540092568,5140.516110601406
1,23.193789596107713,11,0,0,1,0,12944.253253600136,12944.253253600136,14611.047391217715
1,25.54022563750339,11,1,0,0,1,10067.412923459728,10067.412923459728,7738.851270206121
1,13.602014510292346,11,1,0,0,0,14.856668921482848,14.856668921482848,1286.6486809989938
1,20.64493820379854,18,1,0,0,1,9097.922396036445,9097.922396036445,5706.96462327383
1,25.88738071767893,11,1,0,0,1,3057.6288407055026,3057.6288407055026,5935.111200780081
1,15.792051380621578,13,1,0,0,1,6073.003700929532,6073.003700929532,8247.737876689203
1,28.005584146765376,12,1,0,0,0,1819.4768072760285,1819.4768072760285,10253.234650184131
1,20.194890480649562,11,0,0,0,0,2174.508206093313,2174.508206093313,12778.584630707686
1,22.666450001653786,9,1,0,0,0,2013.25649852658,2013.25649852658,5046.107709804255
1,20.186347102164824,12,0,0,0,1,3297.61571119675,3297.61571119675,5183.808273427381
1,39.818225476071504,7,1,0,0,1,451.25236262837154,451.25236262837154,8513.477058894223
1,24.892022202096527,9,1,0,0,0,91.29594275991381,91.29594275991381,4549.129530504824
1,16.538312568352797,8,1,0,0,1,1104.2042640413426,1104.2042640413426,5428.91510052607
1,31.580359296825513,10,0,0,0,1,3659.095042622518,3659.095042622518,8034.469177434776
1,15.233250800231822,16,0,0,0,1,676.389163309831,676.389163309831,6839.243497946296
1,26.670908760038042,4,1,0,0,1,3357.355227995937,3357.355227995937,-3025.988191634383
1,9.322639008961795,12,1,0,0,1,10510.89117068763,10510.89117068763,8188.527110324778
1,14.374511608812556,5,1,0,0,1,295.8191811653609,295.8191811653609,-575.2329590115478
1,26.574889886952988,8,1,0,0,1,3349.7372517136087,3349.7372517136087,2575.482448228383
1,30.907732639963285,13,0,0,0,1,1759.6135192715205,1759.6135192715205,-879.1824324020945
1,26.370946249519765,10,1,0,0,0,6078.094866580549,6078.094866580549,776.4742197149171
1,24.074813740894076,6,1,1,0,1,584.9432971759314,584.9432971759314,5730.430816539679
1,22.59117043528569,7,1,0,1,1,3539.0696291410613,3539.0696291410613,5999.613835165282
1,13.171824077060581,12,0,0,1,1,5462.612584792937,5462.612584792937,5923.16177857058
1,19.24124633284233,7,0,0,0,1,8680.29716214082,8680.29716214082,7294.539965756752
1,21.3148898323217,10,1,0,0,0,3448.908704953866,3448.908704953866,2150.639051765126
1,33.45697780975132,10,1,0,0,0,2062.537837834619,2062.537837834619,8176.092839899891
1,27.74894631654769,8,1,0,0,1,2885.8045666528246,2885.8045666528246,7314.687457584718
1,10.895678757098128,16,1,0,1,1,6095.498728103734,6095.498728103734,8893.977698764007
1,27.59267175515836,11,1,0,0,0,2536.1672762070175,2536.1672762070175,7807.090997569606
1,21.919341756669468,3,0,0,0,0,92.57495320171559,92.57495320171559,-1372.5828401966664
1,19.58462399755233,10,1,0,0,1,8018.716521897519,8018.716521897519,3164.032630540783
1,29.893410310726942,8,0,0,0,1,3508.972608033451,3508.972608033451,9902.625923843958
1,33.24799617996761,12,0,1,0,1,3385.7926316384674,3385.7926316384674,11593.446933575851
1,32.45024095292959,7,1,0,0,0,728.7959940540719,728.7959940540719,11052.18902582872
1,18.28625981421889,9,1,0,0,1,3226.6109810042663,3226.6109810042663,9585.18601797009
1,22.526300993190283,11,0,0,1,0,1501.9546946875764,1501.9546946875764,3263.662772387559
1,27.65010745122851,12,0,0,1,1,3160.0534070617095,3160.0534070617095,10641.974416134535
1,32.80436101697887,6,1,0,0,1,338.1392063480881,338.1392063480881,354.05819755885295
1,21.16660609723768,8,1,0,0,1,3217.47695539757,3217.47695539757,6359.377779086849
1,23.514728186689464,8,1,0,0,1,22325.168729113215,22325.168729113215,10669.446364000012
1,16.149320207951774,8,0,0,0,1,148.23899668290207,148.23899668290207,2725.815862628662
1,15.430347007354634,15,1,0,0,1,11339.589337686686,11339.589337686686,5097.4970059013995
1,31.500206579153584,11,1,0,0,1,1567.2170473637918,1567.2170473637918,4623.510589917269
1,35.84992022856658,6,1,0,0,0,6138.100383047259,6138.100383047259,8918.387225827533
1,24.42391902735733,12,1,0,0,1,4575.090170802878,4575.090170802878,10052.747161290235
1,33.02826318313619,16,1,0,0,1,2511.165317779657,2511.165317779657,8702.62607528107
1,27.893088200381072,13,1,0,0,0,4023.3803575579755,4023.3803575579755,14575.957224407477
1,19.839041963159005,5,1,0,1,0,6323.907302875019,6323.907302875019,919.858798430907
1,27.891164844067312,8,1,0,0,0,1553.2502359461082,1553.2502359461082,11311.41061975261
1,37.304292531727754,13,1,0,0,0,1188.1776743730195,1188.1776743730195,10768.105813132132
1,24.71339168712039,7,1,0,1,1,3304.1889515169205,3304.1889515169205,6574.668345564516
1,37.51714924651205,11,0,0,0,1,4948.37352891322,4948.37352891322,16663.026889170695
1,4.042039167282045,12,1,0,1,0,4310.050106461536,4310.050106461536,1930.2134531080414
1,31.57522003500179,7,1,0,0,1,4795.696429343327,4795.696429343327,2257.8043163576576
1,25.69637654590537,9,0,0,0,1,1715.8874902256593,1715.8874902256593,10624.884800777032
1,22.60794119627306,0,1,0,0,0,5108.51431915759,5108.51431915759,2789.427394961832
1,25.73408621228402,6,1,0,0,1,384.2128879607144,384.2128879607144,1982.82740278238
1,9.099448683192858,9,1,0,0,1,2359.006885032849,2359.006885032849,4071.536152854552
1,23.242624897299905,6,1,0,0,1,17.325916548761562,17.325916548761562,1930.8893963953687
1,27.85690057209397,14,1,0,0,1,1177.2875728295635,1177.2875728295635,5081.543196430544
1,36.82315235793213,5,1,0,0,1,1369.3036878875585,1369.3036878875585,5271.383756596051
1,20.85383825381082,8,1,0,1,1,1513.4011055660023,1513.4011055660023,3897.7874231936385
1,18.532051176854498,10,1,0,1,0,3566.929506093433,3566.929506093433,6217.520550146017
1,20.98594365132371,14,1,0,0,1,1475.8060281342196,1475.8060281342196,5242.256784125719
1,32.32321694161659,5,1,0,0,1,1786.3937566917853,1786.3937566917853,4990.08184529577
1,27.630008877277476,13,1,0,0,0,813.6319461959338,813.6319461959338,6742.749438092441
1,20.76191836986369,10,1,0,0,0,1401.6312016520285,1401.6312016520285,4403.6066775872105
1,29.10613946490685,7,1,0,1,0,773.4752925991465,773.4752925991465,8272.246457062574
1,25.776620394784324,11,0,0,0,0,228.03926476616166,228.03926476616166,5083.147340259626
1,32.74915992426311,10,1,0,0,1,2774.848785955369,2774.848785955369,8708.556669504102
1,19.38357524898118,8,1,0,0,1,3309.7844252132068,3309.7844252132068,5486.600382380479
1,22.378702827217854,10,1,0,0,1,2898.731190445255,2898.731190445255,2580.9306828496383
1,21.86313477494274,8,1,0,0,1,1868.0328450508423,1868.0328450508423,5648.180402061976
